Wind speed,Output power,Nacelle temperature,Generator speed,Pitch motor temperature 1,Pitch motor temperature 2,Pitch motor temperature 3,Pitch angle 1,Pitch angle 2,Pitch angle 3,Pitch torque 1,Pitch torque 2,Pitch torque 3
4.92,303.7,4.6,1262.5,21,19,21,0,0,0,-9.14,-7.72,-7.34
4.96,349.6,3.6,1325.5,21,19,21,0,0,0,-10.18,-5.78,-7.47
4.91,378.5,1.8,1362.3,31,27,27,0,0,0,-11.36,-7.18,-8.9
4.95,352,0.8,1328.38,31,27,27,0,0,0,-10.94,-7.09,-8.72
5.01,350.2,0.6,1346.3,16,13,16,0,0,0,-6.63,-7.61,-7.24
5.09,383.5,0.4,1367.2,17,14,17,0,0,0,-6.73,-5.83,-9.74
5,318.9,0.3,1297.8,19,16,20,0,0,0,-5.49,-5.34,-8.84
5.02,323,1.2,1287.2,21,17,20,0,0,0,-7.16,-7.75,-7.7
5.06,323.7,2.2,1294,31,29,33,0,0,0,-8.61,-6.09,-8.02
5.09,313.1,2.6,1283.3,31,27,31,0,0,0,-6.44,-6.95,-7.52
5.01,385.3,1.5,1356.7,19,16,20,0,0,0,-6.47,-7.91,-8.91
5.05,312.6,2.3,1279.7,19,16,20,0,0,0,-6.92,-5.73,-8.21
5.04,365.3,0.9,1348.5,20,17,21,0,0,0,-7.27,-6.41,-8.09
5.05,363.4,0.9,1341.1,21,17,21,0,0,0,-10.08,-6.9,-8.4
5.04,349.7,1.3,1323.8,21,17,21,0,0,0,-7.15,-6.79,-8.4
5,321.4,4.7,1284.2,21,19,21,0,0,0,-8.86,-4.99,-7.87
5.1,354.1,0.6,1337.4,16,13,17,0,0,0,-6.22,-5.63,-9.11
5.14,341.1,0.3,1314.5,19,16,20,0,0,0,-5.56,-7.37,-7.47
5.16,321,0.9,1291.5,19,16,20,0,0,0,-5.41,-4.68,-7.34
5.11,344.1,0.2,1322,21,17,20,0,0,0,-9.35,-6.09,-7.97
5.16,333.5,2.7,1298.9,37,34,38,0,0,0,-6.57,-6.88,-7.08
5.1,305.2,2.1,1250,21,17,21,0,0,0,-9.28,-7.34,-6.99
5.16,341.3,2.2,1319,21,17,21,0,0,0,-7.46,-6.79,-8.01
5.19,344.4,0.1,1318.9,21,17,21,0,0,0,-10.15,-5.28,-8.51
